Name,Variant,Cost,ATK,DEF,Effect,Ultimate Move,Synergy Type,Ultimate Cost
Fushiguro Megumi,Child,1,150,120,"Hidden Potential – ""If a 'Gojo Satoru' card is on the field, this card gains +50 ATK and DEF.""","Shadow Step ""Dodge the next attack and gain +50 ATK until the end of your next turn.""",Tokyo Jujutsu High Sorcerers,1
Akari Nitta,Jujutsu High Assistant Supervisor,1,140,180,"Logistics Coordinator – ""Once per turn, draw 1 extra card if you have at least one Tokyo Jujutsu High creature on the field.""","Tactical Retreat ""Switch one friendly creature to the bench. That creature heals 100 DEF and cannot be attacked next turn.""",Tokyo Jujutsu High Sorcerers,1
Kiyotaka Ijichi,Tokyo Jujutsu High,1,150,180,"Tactical Support – ""Once per turn, you may reduce the Energy cost of a friendly creature’s Ultimate Move by 1.""","Barrier Deployment ""Choose one friendly creature. It takes 50% less damage for the next 2 turns.""",Tokyo Jujutsu High Sorcerers,1
Kiyotaka Ijichi,Shibuya Survivor,1,170,200,"Desperate Escape – ""Once per game, if this card would be destroyed, prevent its destruction and heal it for 100 DEF.""","Emergency Relay ""Switch the positions of two friendly creatures and restore 100 DEF to both.""",Tokyo Jujutsu High Sorcerers,1
Panda,Second Year Student,1,200,180,"Endurance Training – ""Once per turn, if Panda takes damage, reduce it by 50.""","Heavy Strike ""Deal 200 damage and stun one enemy creature for one turn.""",Tokyo Jujutsu High Sorcerers,1
Shoko Ieiri,Tokyo Jujutsu High Doctor,1,180,220,"Medical Expertise – ""Once per turn, heal 100 DEF to one friendly creature.""","Emergency Treatment ""Fully restore the DEF of one friendly creature.""",Tokyo Jujutsu High Sorcerers,1
Kasumi Miwa,Second Year,1,200,200,"Sniper’s Precision – ""This card can attack enemies in the back row without penalty.""","Expert Marksman ""Deal 250 damage to one enemy creature. If it has lower DEF than ATK, deal an extra 50 damage.""",Kyoto Jujutsu High Sorcerers,1
Fushiguro Megumi,Detention Center,1,200,200,"Ten Shadows Summon – ""Summon 1 Token Creature (ATK 100/DEF 100) at the end of each turn.""","Divine Dog: Totality ""One Token Creature you control gains +150 ATK and attacks immediately.""",Tokyo Jujutsu High Sorcerers,1
Rin Amai,Culling Games,1,210,190,"Survival Tactics – ""This card cannot be attacked while an ally is in the front row.""","Desperate Gambit ""Swap places with a friendly creature and restore 100 DEF to both.""",Culling Game Players,1
Toge Inumaki,Second Year,1,200,220,"Cursed Speech: Halt – ""Once per turn, select one enemy creature. It cannot attack during its next turn.""","Cursed Speech: Blast Away ""Deal 250 damage to one enemy and push it back one space.""",Tokyo Jujutsu High Sorcerers,1
Kasumi Miwa,Second Year,1,220,200,"Dedicated Swordsmanship – ""If this card attacks, gain +50 ATK until the end of the turn.""","Quick Draw ""Deal 250 damage to an enemy creature. If this card was played this turn, deal 300 instead.""",Kyoto Jujutsu High Sorcerers,1
Kokichi Muta,Mechamaru - Second Year,1,220,200,"Remote Puppet Control – ""Once per turn, you may look at the top 2 cards of your deck and rearrange them.""","Missile Barrage ""Deal 200 damage to one enemy creature. If this card is in the back row, deal 250 instead.""",Kyoto Jujutsu High Sorcerers,1
Tsumiki Fushiguro,Step-Sister,1,200,220,"Protective Instinct – ""Once per turn, redirect an attack from a friendly creature to this card.""","Guardian Flight ""A friendly creature of your choice gains +100 DEF this turn.""",Independent Sorcerers,1
Fumihiko Takaba,Failed Comedian,2,220,200,"Comedic Timing – ""Whenever this card is targeted, flip a coin. If heads, negate the effect.""","Unscripted Punchline ""Deal 200 damage to an enemy and swap positions with it.""",Culling Game Players,1
Rin Amai,Sendai City Sorcerer,2,220,200,"Survivor’s Instinct – ""Whenever this card is attacked, reduce damage taken by 50.""","Desperate Slash ""Deal 250 damage to one enemy. If this card has less than half DEF remaining, deal 300 instead.""",Culling Game Players,1
Hiromi Higuruma,Step-Sister,2,200,220,"Protective Instinct – ""Once per turn, redirect an attack from a friendly creature to this card.""","Guardian Flight ""A friendly creature of your choice gains +100 DEF this turn.""",Independent Sorcerers,1
Kirara Hoshi,Third Year,2,220,200,"Celestial Attraction – ""Select one enemy creature. It cannot move or switch positions for the next two turns.""","Star Pull ""Move one enemy creature to an adjacent empty space. If it moves, lower its ATK by 100 for this turn.""",Tokyo Jujutsu High Sorcerers,1
Momo Nishimiya,Second Year,2,200,220,"Aerial Combat – ""This card cannot be targeted by melee attacks from ground-based creatures.""","Wind Scythe ""Deal 250 damage to one enemy. If this card is in the back row, deal 300 instead.""",Kyoto Jujutsu High Sorcerers,1
Akari Nitta,Kyoto Jujutsu High Principal,2,230,200,"Strict Leadership – ""All ‘Kyoto Jujutsu High’ creatures gain +50 ATK.""","Commander's Order ""Select one ‘Kyoto Jujutsu High’ creature. It may attack twice this turn.""",Tokyo Jujutsu High Sorcerers,1
